,date,name,point
0,2019-06-01,가버나움,9.60
1,2019-06-01,알라딘,9.48
2,2019-06-01,교회오빠,9.48
3,2019-06-01,어벤져스: 엔드게임,9.39
4,2019-06-01,호텔 뭄바이,9.39
5,2019-06-01,"지금, 만나러 갑니다",9.34
6,2019-06-01,뽀로로 극장판 보물섬 대모험,9.29
7,2019-06-01,위대한 독재자,9.28
8,2019-06-01,어느 가족,9.22
9,2019-06-01,바울,9.17
10,2019-06-01,어린 의뢰인,9.17
11,2019-06-01,칠곡 가시나들,9.11
12,2019-06-01,노팅 힐,9.07
13,2019-06-01,배심원들,9.04
14,2019-06-01,인생 후르츠,9.04
15,2019-06-01,나의 특별한 형제,8.92
16,2019-06-01,크게 될 놈,8.92
17,2019-06-01,바르다가 사랑한 얼굴들,8.88
18,2019-06-01,일일시호일,8.87
19,2019-06-01,카메라를 멈추면 안 돼!,8.78
20,2019-06-01,기생충,8.78
21,2019-06-01,안경,8.62
22,2019-06-01,자전거 탄 소년,8.59
23,2019-06-01,항거:유관순 이야기,8.59
24,2019-06-01,라라랜드,8.59
25,2019-06-01,내일을 위한 시간,8.56
26,2019-06-01,그녀,8.50
27,2019-06-01,남극의 쉐프,8.45
28,2019-06-01,카모메 식당,8.35
29,2019-06-01,명탐정 피카츄,8.24
30,2019-06-01,판의 미로 - 오필리아와 세 개의 열쇠,8.24
31,2019-06-01,악인전,8.11
32,2019-06-01,마더,8.07
33,2019-06-01,고양이를 빌려드립니다,8.03
34,2019-06-01,아들,7.86
35,2019-06-01,콜 미 바이 유어 네임,7.76
36,2019-06-01,아사코,7.53
37,2019-06-01,고질라: 킹 오브 몬스터,7.35
38,2019-06-01,생일,7.13
39,2019-06-01,서스페리아,6.91
40,2019-06-01,0.0MHz,5.91
41,2019-06-01,걸캅스,5.66
42,2019-06-01,더 보이,5.38
43,2019-06-02,가버나움,9.60
44,2019-06-02,알라딘,9.49
45,2019-06-02,교회오빠,9.47
46,2019-06-02,호텔 뭄바이,9.39
47,2019-06-02,어벤져스: 엔드게임,9.39
48,2019-06-02,"지금, 만나러 갑니다",9.34
49,2019-06-02,뽀로로 극장판 보물섬 대모험,9.29
50,2019-06-02,위대한 독재자,9.28
51,2019-06-02,어느 가족,9.22
52,2019-06-02,어린 의뢰인,9.17
53,2019-06-02,바울,9.17
54,2019-06-02,칠곡 가시나들,9.11
55,2019-06-02,노팅 힐,9.07
56,2019-06-02,배심원들,9.04
57,2019-06-02,인생 후르츠,9.04
58,2019-06-02,나의 특별한 형제,8.92
59,2019-06-02,크게 될 놈,8.91
60,2019-06-02,바르다가 사랑한 얼굴들,8.88
61,2019-06-02,일일시호일,8.87
62,2019-06-02,카메라를 멈추면 안 돼!,8.78
63,2019-06-02,기생충,8.70
64,2019-06-02,안경,8.62
65,2019-06-02,자전거 탄 소년,8.59
66,2019-06-02,라라랜드,8.59
67,2019-06-02,내일을 위한 시간,8.56
68,2019-06-02,그녀,8.50
69,2019-06-02,남극의 쉐프,8.45
70,2019-06-02,카모메 식당,8.35
71,2019-06-02,판의 미로 - 오필리아와 세 개의 열쇠,8.24
72,2019-06-02,명탐정 피카츄,8.23
73,2019-06-02,악인전,8.11
74,2019-06-02,마더,8.07
75,2019-06-02,고양이를 빌려드립니다,8.03
76,2019-06-02,아들,7.86
77,2019-06-02,콜 미 바이 유어 네임,7.76
78,2019-06-02,아사코,7.53
79,2019-06-02,고질라: 킹 오브 몬스터,7.27
80,2019-06-02,서스페리아,6.89
81,2019-06-02,0.0MHz,5.97
82,2019-06-02,걸캅스,5.66
83,2019-06-02,더 보이,5.39
84,2019-06-03,가버나움,9.60
85,2019-06-03,알라딘,9.49
86,2019-06-03,교회오빠,9.46
87,2019-06-03,어벤져스: 엔드게임,9.39
88,2019-06-03,호텔 뭄바이,9.38
89,2019-06-03,"지금, 만나러 갑니다",9.34
90,2019-06-03,뽀로로 극장판 보물섬 대모험,9.29
91,2019-06-03,위대한 독재자,9.28
92,2019-06-03,사랑은 비를 타고,9.26
93,2019-06-03,어느 가족,9.22
94,2019-06-03,바울,9.17
95,2019-06-03,어린 의뢰인,9.17
96,2019-06-03,칠곡 가시나들,9.11
97,2019-06-03,노팅 힐,9.07
98,2019-06-03,인생 후르츠,9.04
99,2019-06-03,배심원들,9.03
100,2019-06-03,바그다드 카페 : 디렉터스컷,9.01
101,2019-06-03,나의 특별한 형제,8.91
102,2019-06-03,크게 될 놈,8.91
103,2019-06-03,바르다가 사랑한 얼굴들,8.88
104,2019-06-03,일일시호일,8.87
105,2019-06-03,카메라를 멈추면 안 돼!,8.78
106,2019-06-03,기생충,8.62
107,2019-06-03,안경,8.62
