Rank,name,restaurant_url,place,tel
1,Bavette’s,http://chicagochophouse.com/,218 W. Kinzie St.,312-624-8154
2,Swift & Sons,http://chicagochophouse.com/,1000 W. Fulton Market,312-733-9420
3,Maple & Ash,http://chicagochophouse.com/,8 W. Maple St.,312-944-8888
4,RPM Steak,http://chicagochophouse.com/,66 W. Kinzie St.,312-284-4990
5,Prime & Provisions,http://chicagochophouse.com/,222 N. LaSalle St.,312-726-7777
6,Mastro’s Steakhouse,http://chicagochophouse.com/,520 N. Dearborn St.,312-521-5100
7,Chicago Chop House,http://chicagochophouse.com/,60 W. Ontario St.,312-787-7100
8,GT Prime,http://chicagochophouse.com/,707 N. Wells St.,312-600-6305
9,Boeufhaus,http://chicagochophouse.com/,1012 N. Western Ave.,773-661-2116
10,Steak 48,http://chicagochophouse.com/,615 N. Wabash Ave.,312-266-4848
